4c7f3a7ba046fb798267d8db49ad24f010585539,MODIFY,regular-file,server/node_modules/@types/node/crypto.d.ts,189858,8-9;246;261;428;454;467;503;660;666;753;759;761;1049;1055;1057;1294;1307;1317;1328;1365;1629;1651-1653;1783;1835;1847;1892;1902;2365;2440-2442;2511;2742;2914;3424;3968;4149;4326
479211a7b32761ad05e3f735e511424cfbf6c7d3,MODIFY,regular-file,server/node_modules/cookie-signature/History.md,1481,10
3fbbddb6c11e38c4faf143ddb2ad4c8db7b869f9,MODIFY,regular-file,server/node_modules/cookie-signature/index.js,1413,8;11;16;18;20;27;31;36;38;40
fb72201db6a110eed57c6d28ae844e5855c02886,MODIFY,regular-file,server/node_modules/dotenv/CHANGELOG.md,17341,137
40ccdade1c6254f8d3b86b6de521023701b782c2,MODIFY,regular-file,server/node_modules/dotenv/README.md,22894,207
a48c3c156ea14ba6d94bf766c7cb03bd9bbb8836,MODIFY,regular-file,server/node_modules/dotenv/lib/main.d.ts,4903,63
5b6cba51ed8df23550d85d448e2be040de4d4002,MODIFY,regular-file,server/node_modules/express/History.md,122540,3380;3425
9362d0ed5dd45cbde80a7216dee4ed3b416dcfa1,MODIFY,regular-file,server/node_modules/express/lib/response.js,24561,749;752-753;761
bbf72226a94cd1805c8eb935c97976bc6ec43b98,MODIFY,regular-file,server/node_modules/openai/README.md,17849,469;475
158070e6c2b2a3fd886a03ecbb1357d2418677a9,MODIFY,regular-file,server/node_modules/openai/beta/realtime/websocket.js,5309,38
14195267cec904ce704ca935d457c9cb024783ce,MODIFY,regular-file,server/node_modules/openai/beta/realtime/websocket.mjs,4040,12
56893311d2ac6b6a7f9e6fe4f075481a8968227c,MODIFY,regular-file,server/node_modules/openai/index.d.mts,21069,88;114;237
56893311d2ac6b6a7f9e6fe4f075481a8968227c,MODIFY,regular-file,server/node_modules/openai/index.d.ts,21069,88;114;237
7e66e0c7f62c2eb9603dc0e242ed58afa103eb1f,MODIFY,regular-file,server/node_modules/openai/index.js,17749,69;83;190
5c6293d819fd37c0b3bf593331844b3c61aeb1e1,MODIFY,regular-file,server/node_modules/openai/index.mjs,14135,43;57;163
7018436701728135c8ec4afbad69b86f638893ee,MODIFY,regular-file,server/node_modules/openai/resources/beta/realtime/sessions.d.ts,28495,9;249
3fca91349f3aef57f1fb7bd12172c12a82a01b09,MODIFY,regular-file,server/node_modules/openai/resources/beta/realtime/sessions.js,1126,12
69ebd3fd86f165209cf82ce48ff3d3a62631970a,MODIFY,regular-file,server/node_modules/openai/resources/beta/realtime/sessions.mjs,991,9
8f238df9dc7bc9889be911f42fb2652873893c68,MODIFY,regular-file,server/node_modules/openai/resources/beta/realtime/transcription-sessions.d.ts,12123,9;33
3f8ff24a6776e172bbfe81bba02095838ef5e586,MODIFY,regular-file,server/node_modules/openai/resources/beta/realtime/transcription-sessions.js,1287,12
c8b40085a33c105fbefda3b73611cbaf44a8aab3,MODIFY,regular-file,server/node_modules/openai/resources/beta/realtime/transcription-sessions.mjs,1113,9
e8900e809b28b03f9ae95c35d9ba9515bcf3fe66,MODIFY,regular-file,server/node_modules/openai/src/beta/realtime/websocket.ts,4427,46
537c18f43b71d594e4796a997da3f31147d62f95,MODIFY,regular-file,server/node_modules/openai/src/index.ts,28495,224;253;278;616
a55a2678c6f5bdc1ab49bfa02040c4287773b61a,MODIFY,regular-file,server/node_modules/openai/src/resources/beta/realtime/sessions.ts,27447,12;305
61e58a8e8af9cb624696b57c2ca5a73a643ddeb3,MODIFY,regular-file,server/node_modules/openai/src/resources/beta/realtime/transcription-sessions.ts,11691,12;46
